0	0
1	1079
2	2020
3	2285
4	2659
5	3170
6	3759
7	3919
8	4120
9	4609
10	4680
11	4748
12	4948
13	5180
14	5210
15	5282
16	5387
17	5421
18	5549
19	5597
20	5666
21	5771
22	5983
23	6299
24	6428
25	6464
26	6614
27	6777
28	6965
29	7016
30	7145
31	7202
32	7511
33	8035
34	8082
35	8135
36	8219
37	8409
38	8503
39	8533
40	8583
41	8666
42	8708
43	8844
44	8877
45	9047
46	9165
47	9206
48	9302
49	9361
50	9617
51	9746
52	9798
53	9896
54	9935
55	9981
56	10019
57	10063
58	10145
59	10210
60	10260
61	10293
62	10662
63	10702
64	10830
65	10923
66	10958
67	11022
68	11087
69	11134
70	11177
71	11239
72	11332
73	11429
74	11468
75	11485
76	11541
77	11644
78	11670
79	11735
80	11803
81	11931
82	12003
83	12080
84	12133
85	12157
86	12304
87	12366
88	12470
89	12527
90	12555
91	12623
92	12649
93	12823
94	12920
95	12967
96	12999
97	13041
98	13130
99	13156
100	13192
101	13276
102	13321
103	13385
104	13416
105	13603
106	13712
107	13750
108	13835
109	13879
110	14050
111	14149
112	14210
113	14300
114	14353
115	14382
116	14559
117	14861
118	14918
119	15049
120	15217
121	15246
122	15363
123	15393
124	15451
125	15512
126	15570
127	15622
128	15705
129	15752
130	15823
131	16095
132	16193
133	16337
134	16388
135	16431
136	16515
137	16550
138	16799
139	16949
140	17077
141	17165
142	17220
143	17296
144	17363
145	17412
146	17463
147	17561
148	17592
149	17659
150	17706
151	17758
152	17940
153	18119
154	18201
155	18310
156	18366
157	18621
158	18693
159	18741
160	18828
161	18865
162	18993
163	19071
164	19106
165	19174
166	19227
167	19349
168	19375
169	19472
170	19611
